Price,Model Year,Mileage,Eng_Cap,City_Lahore,City_Islamabad,City_Karachi,City_Un-Registered,Eng_Type_Petrol,Eng_Type_Hybrid,Eng_Type_Diesel,Transmission_Manual,Transmission_Automatic,Body_Type_Hatchback,Body_Type_Sedan,Body_Type_SUV,Body_Type_Mini Van,Body_Type_Crossover,Make_Suzuki,Make_Toyota,Make_Honda,Make_Daihatsu,Make_Nissan
1140000.0,2004,149000,1500,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1550000.0,2014,55000,660,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
1215000.0,2014,68000,1000,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
2265000.0,2014,57000,1800,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
2400000.0,2012,55000,1500,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
2350000.0,2017,35000,1000,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
1510000.0,2018,28000,1000,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
955000.0,2018,41593,800,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
3045000.0,2016,57000,1800,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
3345000.0000000005,2017,46000,1800,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
2245000.0,2013,85000,1800,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
3345000.0000000005,2018,47000,1800,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1420000.0,2015,78000,1300,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
1835000.0,2014,65000,1300,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
894999.9999999999,2006,83000,1300,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
5200000.0,2016,15205,1800,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
700000.0,2008,123000,660,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
